Ingredients,Calories,Meal Type,Protein,Sugar
Chocolate Pancake Mix,3.72,Breakfast,0.081,
Whole Wheat Bread (Slice),81.6,Breakfast,3.488,
Butter Chicken Licious Spread,3.52,Breakfast,0.148,
Milk (ml),0.59,Breakfast,0.033,
Nutella,5.39,Breakfast,0.063,
Roti,100,Dinner,3.1,
Kurkure,5.52,Snacks,0.06,
Chicken Breast,1.65,Dinner,0.31,
Sugar,3.769,Breakfast,0,
Goals,1900,,105,
Olive oil (per g),8.5,Lunch,0,
Cooked Rice,1.29,Lunch,0.027,
Cooked urad dal (any),1.33,Lunch,0.07,
Hard boiled egg (per egg),77,Snacks,6.3,
Egg white (per egg),18,Snacks,3.6,
Banana (per banana),105,Snacks,1.3,
Cooked rajma,1.27,Lunch,0.087,
Regular Farmhouse Cheeseburst Pizza (Per pizza),939,Dinner,33,
Fried egg (per egg),80,Snacks,5.8,
ITC Chicken Seekh ,1.81,Dinner,0.15,
Beer,0.56,Snacks,0.004,
Non Veg loaded Dominos (per Pizza),714,Dinner,29,
Choco lava cake,327,Snacks,6,
Prasuma Bao Buns (Per bao),120.35,Snacks,5.93,
FreshMenu Smokey Chicken and Cheese Sandwich,398,Dinner,26,
FreshMenu Chicken Tikka Wrap,311,Dinner,22,
RiteBite Protein Cookie (Per cookie),263,Breakfast,10,
Paneer Paratha,212,Lunch,7.7,
Butter,7.24,Breakfast,0.01,
Cheese slice (per slice),62.2,Breakfast,4,
Zero Maida bread slice,61.305,Breakfast,3.43,
Hershey's cookie & creme chocolate (per choclate),208.8,Snacks,2.2,
Basa Fish Fillet,1.3,Dinner,0.15,
"Epigamia Greek Yoghurt (per yoghurt, 85g)",83,Snacks,5.3,
Whiskey/Vodka/Gin/Rum,2.57,Snacks,0,
Protein Chef Butter Chicken burger,488,Lunch,34,
Mcd McVeggie,402,Dinner,10.2,
Mcd Iced Coffee,185.3,Snacks,4.36,
California Burrito Chilli Chipotle Chicken Rice Bowl,725,Dinner,42,
Idli,58,Breakfast,1.6,
Vada,135,Breakfast,4.4,
Mushroom,0.28,Dinner,0.022,
B Natural Fruits and bits juice (per 300ml),150,Snacks,0.4,
Dominos Pepperoni stuffed garlic bread,401,Snacks,10,
Protein Puffs (per packet),250,Snacks,10.2,
Kwality Wall’s Cornetto Double Chocolate,186,Snacks,3.1,
Raw Cold Coffee Protein ,140.46,Snacks,18,
Chocos,3.867,Breakfast,0.09,0.3
Tomato,22,Lunch,1.1,
Onion,35,Lunch,0.9,
Capsicum,18,Lunch,0.9,
Aloo ka Paratha (per paratha),300,Lunch,6.1,
Habanero Tortilla Wrap (per wrap),166.1,Breakfast,4.125,2.365
Prasuma Chicken Ham (per g),0.9178,Breakfast,0.1724,0.009
Mozzarella Cheese (per g),2.84,Breakfast,0.245,0.005
Oats (per g),4.07,Breakfast,0.118,0.018
Chia seeds,4.9,Breakfast,0.165,
Cocoa Powder,4.09,Breakfast,0.196,0.0175
So good almond milk (per ml),0.16,Breakfast,0.006,
Honey,3.04,Breakfast,0,0.8
Cheddar Cheese Slice (per slice),77.4,Breakfast,4.73,0
Mayo (per g),5,Breakfast,,
Chicken Stock (per ml),0.35,Dinner,0.025,
Yummiez Chicken Breakfast sausages (per sausage),39.15,Breakfast,2.97,
Chicken Thigh (per g),1.79,Lunch,0.248,
Flour ,3.64,Lunch,,
Sourdough Bread (per g) (1 slice ~ 35g),2.53,Breakfast,0.086,
Peanut Butter (per g),5.98,Snacks,0.21,
Mille Millet Pancake Mix (per g),3.65,Breakfast,0.17,0.008
Pear (per pear),101,Snacks,0.67,
Maggi (per g),3.84,Breakfast,0.082,
Epigamia Yogurt No added sugar (per cup),68,Snacks,5.4,
FC Indonesian Cacao Oatmeal Bowl (per bowl),480,Breakfast,30,
Del Monte Spaghetti (per g),3.5,Dinner,0.12,
NOICE sliced brioche bun (per bun),103.5,Breakfast,3.35,0.845
Wingreens Tandoori Mayo (per g),2.81,Breakfast,0.01,0.08
Chicken salami (per g),1.56,Breakfast,0.11,
